python,javascript,html_css,sql,problem_solving,ml_ai,design,networking,devops,communication,role
0.808,0.819,0.79,0.502,0.591,0.102,0.367,0.029,0.298,0.834,Full Stack Developer
0.415,0.078,0.031,1.0,0.422,0.242,0.316,0.077,0.0,0.743,Data Analyst
0.46,0.419,0.091,0.445,0.844,0.036,0.0,1.0,0.16,0.333,Cybersecurity Analyst
0.658,0.0,0.332,0.7,0.785,0.155,0.087,0.549,0.94,0.501,DevOps Engineer
0.802,0.842,0.343,0.204,0.778,0.148,0.912,0.0,0.199,0.133,Mobile App Developer
0.421,0.2,0.029,0.428,0.579,0.0,0.035,0.766,0.757,0.594,Cloud Engineer
0.186,0.551,0.349,0.25,0.758,0.1,0.273,0.017,0.299,0.839,QA / Test Engineer
0.52,0.146,0.218,0.15,0.606,0.196,0.022,0.425,0.578,0.123,DevOps Engineer
0.839,0.0,0.168,0.455,0.642,0.008,0.043,0.754,0.915,0.197,DevOps Engineer
0.719,0.029,0.0,0.534,0.759,0.293,0.061,0.946,0.954,0.308,Cloud Engineer
0.289,0.955,0.583,0.77,0.702,0.221,0.654,0.401,0.313,0.544,Mobile App Developer
0.503,0.094,0.044,0.653,0.555,0.089,0.014,0.774,0.544,0.12,Database Administrator
1.0,0.119,0.024,0.799,0.845,0.885,0.153,0.004,0.131,0.55,Data Scientist
0.759,0.0,0.051,0.307,0.907,0.0,0.013,0.986,0.511,0.541,Cybersecurity Analyst
0.414,0.0,0.034,0.577,0.706,0.053,0.02,0.428,0.532,0.0,Database Administrator
0.58,0.274,0.06,0.563,0.831,0.085,0.045,0.723,0.934,0.188,DevOps Engineer
0.899,0.112,0.061,0.496,0.92,0.981,0.001,0.031,0.289,0.732,ML Engineer
0.641,0.011,0.523,0.465,0.722,0.045,0.204,0.092,0.552,0.7,QA / Test Engineer
0.105,0.779,0.947,0.274,0.622,0.076,0.791,0.034,0.114,0.731,Frontend Developer
1.0,0.325,0.048,0.826,0.881,0.821,0.0,0.011,0.286,0.452,Data Scientist
0.682,0.159,0.077,0.402,0.875,0.094,0.052,0.92,0.858,0.602,DevOps Engineer
0.168,0.0,0.378,0.0,0.292,0.057,0.621,0.0,0.003,0.57,UI/UX Designer
0.276,0.115,0.018,1.0,0.833,0.0,0.0,0.383,0.303,0.192,Database Administrator
